0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
26301,3196,769,11148,1007,2928,507,11126,1095,716,794,2581,2398,619,551,1924,2577,1706,1389,3407,1479,1890,1423,3469,1433,735,2904,7085,4316,978,3185,7676,5017,209,720,2439,3680,208,708,2073,3331,462,153,195,301,494,187,147,172,19,153,50,102,44,239,41,46,8583544,31954,16
16186,1815,415,5345,631,1802,349,5368,655,418,457,1572,1469,402,349,1269,1535,929,818,1960,898,977,708,1856,985,593,1029,3353,2528,762,1088,3521,2989,165,398,744,1797,174,378,664,1877,313,100,69,148,337,124,66,69,10,111,13,46,30,143,24,29,8661131,16009,16
19697,2318,515,7202,743,2110,388,7179,811,552,598,1844,1783,453,403,1449,1879,1120,1067,2561,1033,1293,918,2456,1079,531,1571,4571,3051,728,1642,4807,3702,186,486,1321,2535,208,405,964,2409,368,94,121,199,357,128,102,109,8,123,23,66,25,159,35,49,8636540,20926,16
30014,3432,959,13689,979,3297,880,13196,1000,917,952,2958,2672,801,801,2377,2908,2911,1869,2912,1682,3046,1678,3132,1782,2236,6177,5300,3155,2239,6568,5591,3398,267,2329,3259,2589,244,2039,3357,1921,399,299,259,246,405,324,287,202,28,222,45,120,23,203,49,97,8556052,39227,17
30613,3698,981,13400,994,3440,846,12981,979,947,964,2904,2755,845,826,2516,2986,3017,1823,3074,1847,3043,1722,3111,1920,2302,6306,4794,3158,2509,6514,5391,3411,316,2225,3554,2358,278,2135,3287,1867,441,278,261,234,388,312,263,231,36,203,33,91,32,207,44,90,8554315,39904,17
31158,3725,985,13128,1016,3578,916,12860,1031,939,951,3037,2894,867,834,2511,2992,3074,1990,3166,1919,3114,1753,3275,1990,2527,6294,4946,3193,2771,6557,5489,3805,297,2119,3416,2429,291,2075,3378,1900,438,274,240,242,413,335,284,209,33,179,36,97,39,172,36,83,8552259,39441,17
31942,3789,703,14506,976,3559,596,14025,1028,833,888,2664,2631,734,757,2154,2627,2379,1665,4012,1695,2578,1750,4089,1776,1377,5041,9764,4860,1466,4998,10434,5528,191,1305,3329,4615,167,1276,3356,4022,405,148,194,277,435,150,136,154,11,103,27,66,38,175,29,23,8540326,41218,18
35090,4106,746,15614,1053,3804,612,15132,1138,938,903,2779,2786,809,799,2187,2888,2491,1808,4194,1747,2586,1807,4375,1699,1408,5240,10983,5442,1507,5351,11697,5896,172,1526,3619,5076,202,1340,3558,4625,404,144,209,231,486,189,130,142,13,120,52,66,41,200,36,28,8522923,44853,18
33702,4067,764,15130,955,3798,558,14804,1021,868,879,2739,2634,768,749,2142,2825,2430,1764,4258,1693,2523,1817,4358,1689,1275,5011,10808,5343,1534,5127,11248,5962,153,1421,3464,5107,176,1213,3344,4497,403,145,186,247,450,151,134,178,11,80,48,76,25,188,31,23,8529780,43226,18
28515,3223,965,14022,727,2974,821,13572,850,845,898,2702,2387,777,722,2389,2570,3246,1745,2685,1554,3523,1638,2680,1707,3193,8832,4559,1540,3272,8942,5250,2111,163,2883,3783,1929,165,3322,3909,1361,189,334,224,216,234,315,168,148,30,156,43,73,35,137,16,45,8554205,40481,19
28241,3180,917,13836,698,3029,856,13273,838,846,945,2764,2413,751,759,2343,2492,3158,1812,2677,1524,3550,1604,2637,1695,3120,8597,4729,1767,2913,8603,5205,2130,174,2985,3491,2055,129,2827,4166,1438,203,263,183,204,224,291,172,142,34,124,33,63,28,134,18,30,8556931,39756,19
27818,3120,921,13899,671,2875,818,13423,805,844,914,2771,2271,750,706,2366,2590,3326,1722,2428,1546,3448,1587,2543,1637,3224,8940,4629,1497,3280,8679,5118,1876,190,2939,3785,1733,176,3175,3689,1163,204,301,187,192,187,289,156,120,23,149,41,52,37,139,14,42,8558692,39283,19
48022,5056,764,20365,1901,5118,624,19488,1715,1023,873,3409,3296,953,786,2448,3386,1923,1816,6209,2128,1920,1598,6525,2189,815,3246,17496,8030,1031,3214,17991,9277,352,950,4459,9198,388,717,3829,8159,869,140,162,354,913,315,295,201,35,268,40,118,60,416,146,86,8450778,62117,20
56080,5952,934,21748,2377,6104,688,21274,2165,1101,970,3856,3778,1152,882,2765,3736,2114,1880,7141,2652,2095,1776,7217,2517,1062,3383,19311,9578,1293,3367,19048,11252,435,921,4263,10253,554,941,4078,9695,1018,182,186,435,1077,405,310,278,49,298,59,148,81,588,187,110,8412677,69524,20
43860,4559,835,19921,1722,4455,544,19045,1714,1017,918,3350,3158,911,714,2240,3261,1798,1803,5741,1932,1844,1618,5909,1986,888,3455,16875,6522,1209,3550,17155,7979,314,885,4800,8123,379,821,4092,7482,807,158,210,457,817,312,244,217,42,275,58,144,120,510,140,73,8465847,60185,20
40825,4576,927,15307,1623,4546,648,15475,1524,944,970,2939,2983,908,742,2154,3068,2257,1719,5399,2024,2298,1721,5502,1732,1023,3782,11770,6626,1316,4008,12404,7093,213,1169,2711,7051,264,1016,2255,6509,600,157,307,390,669,304,278,227,24,225,79,173,81,427,126,78,8506557,47277,21
39097,4441,856,15088,1607,4312,637,15157,1492,947,902,2880,2797,882,772,2088,3085,2203,1752,5192,1921,2279,1684,5216,1788,984,3663,12116,6289,1366,3966,12580,6747,228,1122,2593,6754,262,993,2360,6296,581,156,249,369,630,267,274,198,34,243,67,140,71,380,87,60,8512372,46428,21
38920,4132,825,15831,1575,4029,612,15656,1488,879,897,2876,2845,800,715,1948,2947,2141,1759,5161,1849,2296,1707,5032,1713,935,3886,12599,5562,1230,3971,13097,6435,212,1159,2956,6437,226,953,2577,6805,487,185,262,408,671,270,272,190,35,213,72,155,87,464,118,55,8511021,47362,21
41117,4472,1097,18284,1349,4370,1002,18128,1247,984,1102,3263,3230,1052,951,2952,3425,3394,2120,4581,2045,3342,2023,4509,2061,2550,7447,10335,5001,2623,7351,11023,5428,332,2446,4607,5085,306,2674,4494,4245,561,336,282,266,540,363,309,277,48,319,69,135,61,325,63,128,8482094,55777,22
39969,4482,1110,17553,1273,4441,961,17444,1230,925,1052,3249,3044,990,886,2794,3293,3281,2050,4519,2077,3486,1989,4432,2142,2591,7024,9954,4818,2601,6849,10644,5499,263,2478,3993,4872,302,2563,4368,4343,502,336,302,267,540,352,311,301,40,284,67,95,60,339,45,94,8490272,53959,22
44961,5197,1055,19582,1473,5169,1048,19177,1405,1077,1106,3546,3461,1103,1049,3136,3516,3421,2204,4960,2269,3602,1986,4762,2387,3023,7695,11711,5908,2881,7470,12256,6627,307,2601,4648,5474,331,2578,4751,4900,585,370,321,331,666,415,335,322,51,274,55,129,65,356,63,115,8459880,59854,22
43175,4399,1215,21598,1155,4112,1206,21666,1348,1115,1094,3389,2895,890,822,2907,3599,3584,2090,4343,1832,3491,1862,4300,2025,2994,10088,10982,3800,3278,10954,11123,4498,280,3343,5725,5264,264,3405,6087,4007,523,436,416,420,480,375,236,279,111,564,125,209,84,416,65,97,8451581,67379,23
43750,4495,1217,21470,1187,4182,1140,21542,1399,1027,969,3343,3050,892,820,2762,3732,3321,2149,4433,1912,3319,1816,4307,2117,2778,9623,11724,3911,3419,9851,12385,5025,340,3026,5780,5368,277,2927,5891,4332,551,480,455,387,460,460,277,281,73,611,149,207,104,406,69,130,8450463,67429,23
42533,4276,1298,20960,1143,4032,1176,20857,1409,1023,1060,3366,3044,901,863,2877,3754,3270,2068,4394,2014,3175,1807,3908,2017,2701,9057,10657,3899,3086,9823,11374,4637,299,2812,5280,4968,263,2721,5832,4251,582,486,453,420,513,445,271,239,104,692,125,197,113,438,61,137,8460888,64951,23
26223,2539,823,15111,593,2169,741,14639,773,743,804,2534,1975,570,635,1918,2405,2770,1576,2466,1345,2827,1435,2646,1439,1823,9708,5489,1491,2094,10309,6110,2212,98,2409,3088,2357,114,2605,3463,1523,258,170,163,175,189,221,149,141,35,197,21,70,26,194,33,45,8562321,39000,24
25662,2619,743,13678,566,2298,754,13205,721,733,799,2528,1947,572,615,1962,2371,2782,1549,2470,1233,2871,1342,2517,1409,1951,8573,4648,1563,2150,9312,5060,2255,109,2524,2785,2254,106,2710,2726,1440,247,186,166,169,188,208,162,130,33,213,28,56,25,127,32,53,8574251,35614,24
25221,2423,758,14685,648,2028,690,14186,712,742,750,2461,2096,575,617,1954,2287,2553,1621,2563,1226,2640,1396,2523,1369,1470,8851,6065,1580,1673,9102,6484,2430,101,2148,3672,2572,68,2081,3311,1696,217,147,145,169,224,173,188,121,34,223,26,57,29,160,42,32,8567682,38303,24
